environment: procgen:procgen-heist-v0
number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 200
	v_mask: random
	v_mask_density: 0.005
	w_mask: random
	w_mask_density: 0.2
	t_mask: random
	t_mask_density: 0.1
	clipping_range_min: -1.0
	clipping_range_max: 1.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 20684
Free Parameters: {'V': 12367, 'W': 8012, 'T': 305}
Inputs: 12288
Outputs: 15

--------------------------------------------------------------------------------
gen     min             mean            max             elapsed time (s)
323     0.00            1.56            4.00            45.97           
324     0.50            2.47            4.00            44.92           
325     0.00            2.40            4.50            45.37           
326     0.00            2.07            3.50            45.44           
327     1.00            2.69            5.00            45.24           
328     0.00            2.14            4.00            45.75           
329     1.50            3.41            5.50            44.91           
330     1.50            3.33            5.50            45.20           
331     0.50            2.31            4.00            45.46           
332     0.50            2.75            4.50            45.06           
333     0.00            1.77            3.00            45.59           
334     1.00            2.52            4.00            44.89           
335     0.00            1.76            3.50            45.84           
336     1.00            3.38            5.50            44.76           
337     0.50            2.43            3.50            44.91           
338     0.00            2.18            4.00            45.49           
339     0.50            3.50            5.50            44.64           
340     0.50            2.17            3.50            45.28           
341     0.00            1.22            2.50            46.15           
342     0.00            2.54            4.50            45.56           
343     1.00            2.27            4.00            45.48           
344     0.50            3.52            5.50            44.80           
345     0.50            2.74            4.50            44.95           
346     1.50            3.60            5.00            44.71           
347     1.00            2.60            4.50            45.02           
348     1.00            2.61            4.50            45.60           
349     0.00            1.26            3.00            46.45           
350     0.50            2.23            3.50            45.93           
351     1.00            2.64            5.00            45.65           
352     1.50            2.62            4.00            45.12           
353     0.50            2.93            5.50            45.33           
354     1.00            2.56            4.00            45.32           
355     1.00            3.07            4.50            45.33           
356     0.50            3.36            5.50            44.90           
357     0.50            2.24            4.00            45.78           
358     1.50            3.25            5.00            45.10           
359     0.50            1.92            3.50            45.71           
360     0.50            2.03            3.50            46.02           
361     0.50            2.24            4.50            45.75           
362     1.00            3.35            5.00            45.09           
363     0.50            2.51            4.50            45.94           
364     0.50            2.71            5.00            45.83           
365     0.50            2.94            5.00            45.05           
366     1.50            3.76            5.50            44.39           
367     0.50            2.20            5.50            46.15           
368     0.00            2.26            4.50            45.41           
369     0.00            1.38            3.00            46.18           
370     0.00            2.11            4.50            45.89           
371     0.50            3.36            5.00            44.94           
372     0.50            1.78            3.50            45.78           
373     0.50            2.50            5.00            45.52           
374     0.00            0.97            2.50            46.28           
375     0.00            2.16            4.00            45.95           
376     1.00            2.37            4.50            45.69           
377     0.50            1.80            3.50            46.01           
378     1.00            3.33            5.50            45.15           
379     1.00            3.50            6.00            45.53           
380     0.50            2.09            4.50            45.97           
381     1.50            3.66            5.50            45.22           
